Region,high_education
Российская Федерация,460803
Центральный федеральный округ,137999
Белгородская область,5951
Брянская область,4670
Владимирская область,5187
Воронежская область,6271
Ивановская область,3834
Калужская область,4425
Костромская область,2598
Курская область,5159
Липецкая область,4644
Московская область,24769
Орловская область,3757
Рязанская область,4357
Смоленская область,3332
Тамбовская область,4243
Тверская область,4404
Тульская область,4417
Ярославская область,4502
Город федерального значения Москва,41479
Северо-Западный федеральный округ,52939
Республика Карелия,2388
Республика Коми,3192
Архангельская область,3776
Ненецкий автономный округ,623
Вологодская область,4075
Калининградская область,3824
Ленинградская область,5654
Мурманская область,3361
Новгородская область,3190
Псковская область,3096
Город федерального значения Санкт-Петербург,20383
Южный федеральный округ,37399
Республика Адыгея,3553
Республика Калмыкия,2994
Краснодарский край,11286
Астраханская область,3274
Волгоградская область,6486
Ростовская область,9806
Северо-Кавказский федеральный округ,28852
Республика Дагестан,5586
Республика Ингушетия,2515
Кабардино-Балкарская Республика,3675
Карачаево-Черкесская Республика,2350
Республика Северная Осетия-Алания,4736
Чеченская Республика,3220
Ставропольский край,6770
Приволжский федеральный округ,81471
Республика Башкортостан,7593
Республика Марий Эл,2965
Республика Мордовия,3689
Республика Татарстан,10544
Удмуртская Республика,5230
Чувашская Республика,4322
Пермский край ,5785
Кировская область,3114
Нижегородская область,9872
Оренбургская область,5184
Пензенская область,3856
Самарская область,8913
Саратовская область,6357
Ульяновская область,4047
Уральский федеральный округ,32503
Курганская область,2588
Свердловская область,9422
Тюменская область,12418
Ханты-Мансийский автономный округ — Югра,4310
Ямало-Ненецкий автономный округ,3785
Челябинская область,8075
Сибирский федеральный округ,55241
Республика Алтай,2113
Республика Бурятия,3676
Республика Тыва,1788
Республика Хакасия,2166
Алтайский край,5648
Забайкальский край ,2838
Красноярский край ,7466
Иркутская область ,5626
Кемеровская область,5816
Новосибирская область,7389
Омская область,5635
Томская область,5080
Дальневосточный федеральный округ,29774
Республика Саха (Якутия),4156
Камчатский край ,2977
Приморский край,6435
Хабаровский край,5632
Амурская область,3099
Магаданская область,1947
Сахалинская область,2687
Еврейская автономная область,1754
Чукотский автономный округ,1087
