Российская Федерация,"12,7"
Центральный федеральный округ,
Белгородская область,"7,5"
Брянская область,"13,6"
Владимирская область,"13,1"
Воронежская область,"8,9"
Ивановская область,"14,2"
Калужская область,"10,8"
Костромская область,"12,1"
Курская область ,"9,9"
Липецкая область,"8,8"
Московская область ,"7,9"
Орловская область,"13,5"
Рязанская область,"13,0"
Смоленская область,"16,1"
Тамбовская область,"9,8"
Тверская область,"12,2"
Тульская область,"10,3"
Ярославская область ,"10,1"
г. Москва,"6,7"
Северо-Западный федеральный округ,
Республика Карелия,"14,2"
Республика Коми,"14,0"
Архангельская область,"12,7"
 в том числе: Ненецкий автономный округ,"9,2"
Архангельская область без авт. округа,"11,8"
Вологодская область,"13,5"
Калининградская область,"13,6"
Ленинградская область,"8,7"
Мурманская область,"9,4"
Новгородская область,"13,6"
Псковская область,"16,7"
г. Санкт-Петербург,"6,7"
Южный федеральный  округ ,
Республика Адыгея,"13,4"
Республика Калмыкия,"23,6"
Республика Крым,"17,3"
Краснодарский край,"10,5"
Астраханская область,"14,8"
Волгоградская область,"13,6"
Ростовская область,"13,2"
г. Севастополь,"12,0"
Северо-Кавказский федеральный округ,
Республика Дагестан,"14,6"
Республика Ингушетия,"29,9"
Кабардино-Балкарская Республика,"24,9"
Карачаево-Черкесская Республика,"22,8"
Республика Северная Осетия - Алания,"14,0"
Чеченская Республика ,"20,5"
Ставропольский край,"14,3"
Приволжский федеральный округ,
Республика Башкортостан,"12,2"
Республика Марий Эл,"20,4"
Республика Мордовия,"17,8"
Республика Татарстан,"7,1"
Удмуртская Республика,"12,0"
Чувашская Республика,"17,8"
Пермский край,"14,9"
Кировская область,"14,5"
Нижегородская область,"9,5"
Оренбургская область,"13,8"
Пензенская область,"13,5"
Самарская область,"12,7"
Саратовская область,"15,6"
Ульяновская область,"15,3"
Уральский федеральный округ,
Курганская область,"19,1"
Свердловская область,"9,5"
Тюменская область,"12,1"
в том числе: Ханты-Мансийский автономный округ-Югра,"9,0"
Ямало-Ненецкий автономный округ,"5,5"
Тюменская область без авт. округов ,"14,6"
Челябинская область,"12,8"
Сибирский федеральный округ,
Республика Алтай,"23,2"
Республика Тыва,"34,4"
Республика Хакасия,"18,5"
Алтайский край,"16,8"
Красноярский край,"17,1"
Иркутская область,"17,6"
Кемеровская область,"13,9"
Новосибирская область,"14,1"
Омская область,"13,5"
Томская область,"14,7"
Дальневосточный федеральный округ,
Республика Бурятия,"19,1"
Республика Саха (Якутия),"18,6"
Забайкальский край,"20,8"
Камчатский край,"15,1"
Приморский край,"13,9"
Хабаровский край,"12,2"
Амурская область,"15,6"
Магаданская область,"9,5"
Сахалинская область,"8,3"
Еврейская автономная область,"23,2"
Чукотский авт.округ,"8,5"
