value,area,urban,gender
460803,Российская Федерация,Городское и сельское население,Оба пола
137999,Центральный федеральный округ,Городское и сельское население,Оба пола
5951,Белгородская область,Городское и сельское население,Оба пола
4670,Брянская область,Городское и сельское население,Оба пола
5187,Владимирская область,Городское и сельское население,Оба пола
6271,Воронежская область,Городское и сельское население,Оба пола
3834,Ивановская область,Городское и сельское население,Оба пола
4425,Калужская область,Городское и сельское население,Оба пола
2598,Костромская область,Городское и сельское население,Оба пола
5159,Курская область,Городское и сельское население,Оба пола
4644,Липецкая область,Городское и сельское население,Оба пола
24769,Московская область,Городское и сельское население,Оба пола
3757,Орловская область,Городское и сельское население,Оба пола
4357,Рязанская область,Городское и сельское население,Оба пола
3332,Смоленская область,Городское и сельское население,Оба пола
4243,Тамбовская область,Городское и сельское население,Оба пола
4404,Тверская область,Городское и сельское население,Оба пола
4417,Тульская область,Городское и сельское население,Оба пола
4502,Ярославская область,Городское и сельское население,Оба пола
41479,Город федерального значения Москва,Городское и сельское население,Оба пола
52939,Северо-Западный федеральный округ,Городское и сельское население,Оба пола
2388,Республика Карелия,Городское и сельское население,Оба пола
3192,Республика Коми,Городское и сельское население,Оба пола
3776,Архангельская область,Городское и сельское население,Оба пола
623,Ненецкий автономный округ,Городское и сельское население,Оба пола
4075,Вологодская область,Городское и сельское население,Оба пола
3824,Калининградская область,Городское и сельское население,Оба пола
5654,Ленинградская область,Городское и сельское население,Оба пола
3361,Мурманская область,Городское и сельское население,Оба пола
3190,Новгородская область,Городское и сельское население,Оба пола
3096,Псковская область,Городское и сельское население,Оба пола
20383,Город федерального значения Санкт-Петербург,Городское и сельское население,Оба пола
37399,Южный федеральный округ,Городское и сельское население,Оба пола
3553,Республика Адыгея,Городское и сельское население,Оба пола
2994,Республика Калмыкия,Городское и сельское население,Оба пола
11286,Краснодарский край,Городское и сельское население,Оба пола
3274,Астраханская область,Городское и сельское население,Оба пола
6486,Волгоградская область,Городское и сельское население,Оба пола
9806,Ростовская область,Городское и сельское население,Оба пола
28852,Северо-Кавказский федеральный округ,Городское и сельское население,Оба пола
5586,Республика Дагестан,Городское и сельское население,Оба пола
2515,Республика Ингушетия,Городское и сельское население,Оба пола
3675,Кабардино-Балкарская Республика,Городское и сельское население,Оба пола
2350,Карачаево-Черкесская Республика,Городское и сельское население,Оба пола
4736,Республика Северная Осетия-Алания,Городское и сельское население,Оба пола
3220,Чеченская Республика,Городское и сельское население,Оба пола
6770,Ставропольский край,Городское и сельское население,Оба пола
81471,Приволжский федеральный округ,Городское и сельское население,Оба пола
7593,Республика Башкортостан,Городское и сельское население,Оба пола
2965,Республика Марий Эл,Городское и сельское население,Оба пола
3689,Республика Мордовия,Городское и сельское население,Оба пола
10544,Республика Татарстан,Городское и сельское население,Оба пола
5230,Удмуртская Республика,Городское и сельское население,Оба пола
4322,Чувашская Республика,Городское и сельское население,Оба пола
5785,Пермский край ,Городское и сельское население,Оба пола
3114,Кировская область,Городское и сельское население,Оба пола
9872,Нижегородская область,Городское и сельское население,Оба пола
5184,Оренбургская область,Городское и сельское население,Оба пола
3856,Пензенская область,Городское и сельское население,Оба пола
8913,Самарская область,Городское и сельское население,Оба пола
6357,Саратовская область,Городское и сельское население,Оба пола
4047,Ульяновская область,Городское и сельское население,Оба пола
32503,Уральский федеральный округ,Городское и сельское население,Оба пола
2588,Курганская область,Городское и сельское население,Оба пола
9422,Свердловская область,Городское и сельское население,Оба пола
12418,Тюменская область,Городское и сельское население,Оба пола
4310,Ханты-Мансийский автономный округ — Югра,Городское и сельское население,Оба пола
3785,Ямало-Ненецкий автономный округ,Городское и сельское население,Оба пола
8075,Челябинская область,Городское и сельское население,Оба пола
55241,Сибирский федеральный округ,Городское и сельское население,Оба пола
2113,Республика Алтай,Городское и сельское население,Оба пола
3676,Республика Бурятия,Городское и сельское население,Оба пола
1788,Республика Тыва,Городское и сельское население,Оба пола
2166,Республика Хакасия,Городское и сельское население,Оба пола
5648,Алтайский край,Городское и сельское население,Оба пола
2838,Забайкальский край ,Городское и сельское население,Оба пола
7466,Красноярский край ,Городское и сельское население,Оба пола
5626,Иркутская область ,Городское и сельское население,Оба пола
5816,Кемеровская область,Городское и сельское население,Оба пола
7389,Новосибирская область,Городское и сельское население,Оба пола
5635,Омская область,Городское и сельское население,Оба пола
5080,Томская область,Городское и сельское население,Оба пола
29774,Дальневосточный федеральный округ,Городское и сельское население,Оба пола
4156,Республика Саха (Якутия),Городское и сельское население,Оба пола
2977,Камчатский край ,Городское и сельское население,Оба пола
6435,Приморский край,Городское и сельское население,Оба пола
5632,Хабаровский край,Городское и сельское население,Оба пола
3099,Амурская область,Городское и сельское население,Оба пола
1947,Магаданская область,Городское и сельское население,Оба пола
2687,Сахалинская область,Городское и сельское население,Оба пола
1754,Еврейская автономная область,Городское и сельское население,Оба пола
1087,Чукотский автономный округ,Городское и сельское население,Оба пола
