value,area,urban,gender
15159,"Российская Федерация","Городское и сельское население","Оба пола"
6226,"Российская Федерация","Городское и сельское население",Мужчины
8933,"Российская Федерация","Городское и сельское население",Женщины
11809,"Российская Федерация","Городское население","Оба пола"
4829,"Российская Федерация","Городское население",Мужчины
6980,"Российская Федерация","Городское население",Женщины
3350,"Российская Федерация","Сельское население","Оба пола"
1397,"Российская Федерация","Сельское население",Мужчины
1953,"Российская Федерация","Сельское население",Женщины
4836,"Центральный федеральный округ","Городское и сельское население","Оба пола"
2082,"Центральный федеральный округ","Городское и сельское население",Мужчины
2754,"Центральный федеральный округ","Городское и сельское население",Женщины
3986,"Центральный федеральный округ","Городское население","Оба пола"
1733,"Центральный федеральный округ","Городское население",Мужчины
2253,"Центральный федеральный округ","Городское население",Женщины
850,"Центральный федеральный округ","Сельское население","Оба пола"
349,"Центральный федеральный округ","Сельское население",Мужчины
501,"Центральный федеральный округ","Сельское население",Женщины
158,"Белгородская область","Городское и сельское население","Оба пола"
77,"Белгородская область","Городское и сельское население",Мужчины
81,"Белгородская область","Городское и сельское население",Женщины
135,"Белгородская область","Городское население","Оба пола"
62,"Белгородская область","Городское население",Мужчины
73,"Белгородская область","Городское население",Женщины
23,"Белгородская область","Сельское население","Оба пола"
15,"Белгородская область","Сельское население",Мужчины
8,"Белгородская область","Сельское население",Женщины
179,"Брянская область","Городское и сельское население","Оба пола"
66,"Брянская область","Городское и сельское население",Мужчины
113,"Брянская область","Городское и сельское население",Женщины
121,"Брянская область","Городское население","Оба пола"
45,"Брянская область","Городское население",Мужчины
76,"Брянская область","Городское население",Женщины
58,"Брянская область","Сельское население","Оба пола"
21,"Брянская область","Сельское население",Мужчины
37,"Брянская область","Сельское население",Женщины
185,"Владимирская область","Городское и сельское население","Оба пола"
76,"Владимирская область","Городское и сельское население",Мужчины
109,"Владимирская область","Городское и сельское население",Женщины
128,"Владимирская область","Городское население","Оба пола"
54,"Владимирская область","Городское население",Мужчины
74,"Владимирская область","Городское население",Женщины
57,"Владимирская область","Сельское население","Оба пола"
22,"Владимирская область","Сельское население",Мужчины
35,"Владимирская область","Сельское население",Женщины
177,"Воронежская область","Городское и сельское население","Оба пола"
67,"Воронежская область","Городское и сельское население",Мужчины
110,"Воронежская область","Городское и сельское население",Женщины
143,"Воронежская область","Городское население","Оба пола"
55,"Воронежская область","Городское население",Мужчины
88,"Воронежская область","Городское население",Женщины
34,"Воронежская область","Сельское население","Оба пола"
12,"Воронежская область","Сельское население",Мужчины
22,"Воронежская область","Сельское население",Женщины
104,"Ивановская область","Городское и сельское население","Оба пола"
36,"Ивановская область","Городское и сельское население",Мужчины
68,"Ивановская область","Городское и сельское население",Женщины
72,"Ивановская область","Городское население","Оба пола"
30,"Ивановская область","Городское население",Мужчины
