Центральный федеральный округ	39104400  
Белгородская область	1531917  
Брянская область	1168771  
Владимирская область	1323659  
Воронежская область	2287678  
Ивановская область	976918  
Калужская область	1012844  
Костромская область	620776  
Курская область	1083584  
Липецкая область	1113680  
Московская область	7768878  
Орловская область	714094  
Рязанская область	1085152  
Смоленская область	909856  
Тамбовская область	980984  
Тверская область	1230190  
Тульская область	1432570  
Ярославская область	1227383  
г. Москва	12635466  
Северо-Западный федеральный округ	13901069  
Республика Карелия	603067  
Республика Коми	803477  
Архангельская область 	1114322  
Ненецкий автономный округ	44540  
Архангельская область без Ненецкого автономного округа	1069782  
Вологодская область	1139499  
Калининградская область	1027678  
Ленинградская область	1911586  
Мурманская область	724452  
Новгородская область	586129  
Псковская область	613356  
г.Санкт-Петербург 	5377503  
Южный федеральный округ	16434898  
Республика Адыгея	468340  
Республика Калмыкия	267756  
Республика Крым	1896393  
Краснодарский край	5687378  
Астраханская область	989430  
Волгоградская область	2449781  
Ростовская область	4153763  
г. Севастополь	522057  
Северо-Кавказский федеральный округ	9997336  
Республика Дагестан	3153857  
Республика Ингушетия	524058  
Кабардино-Балкарская Республика	870487  
Карачаево-Черкесская Республика	464219  
Республика Северная Осетия-Алания	688124  
Чеченская Республика	1516387  
Ставропольский край	2780204  
Приволжский федеральный округ	28844264  
Республика Башкортостан	4001678  
Республика Марий Эл 	671455  
Республика Мордовия	770673  
Республика Татарстан	3886395  
Удмуртская Республика	1484460  
Чувашская Республика	1198429  
Пермский край	2556852  
Кировская область	1234780  
Нижегородская область	3144254  
Оренбургская область	1924578  
Пензенская область	1274062  
Самарская область	3131720  
Саратовская область	2360959  
Ульяновская область	1203969  
Уральский федеральный округ	12294961  
Курганская область	805510  
Свердловская область	4264340  
Тюменская область 	3806505  
Ханты-Мансийский автономный округ-Югра	1702240  
Ямало-Ненецкий автономный округ	552117  
Тюменская область без автономных округов	1552148  
Челябинская область	3418606  
Сибирский федеральный округ	16889404  
Республика Алтай	221559  
Республика Тыва	332609  
Республика Хакасия	528338  
Алтайский край	2268179  
Красноярский край 	2849169  
Иркутская область	2357134  
Кемеровская область	2604272  
Новосибирская область	2780292  
Омская область	1879548  
Томская область	1068304  
Дальневосточный федеральный округ	8091244  
Республика Бурятия	982629  
Республика Саха (Якутия)	992115  
Забайкальский край	1043467  
Камчатский край	312704  
Приморский край	1863011  
Хабаровский край	1298978  
Амурская область	772525  
Магаданская область	137767  
Сахалинская область	484177  
Еврейская автономная область	153831  
Чукотский автономный округ	50040  
