value,area,urban,gender
8929,"Российская Федерация","Городское и сельское население","Оба пола"
3823,"Российская Федерация","Городское и сельское население",Мужчины
5106,"Российская Федерация","Городское и сельское население",Женщины
7375,"Российская Федерация","Городское население","Оба пола"
3173,"Российская Федерация","Городское население",Мужчины
4202,"Российская Федерация","Городское население",Женщины
1554,"Российская Федерация","Сельское население","Оба пола"
650,"Российская Федерация","Сельское население",Мужчины
904,"Российская Федерация","Сельское население",Женщины
3502,"Центральный федеральный округ","Городское и сельское население","Оба пола"
1593,"Центральный федеральный округ","Городское и сельское население",Мужчины
1909,"Центральный федеральный округ","Городское и сельское население",Женщины
3045,"Центральный федеральный округ","Городское население","Оба пола"
1401,"Центральный федеральный округ","Городское население",Мужчины
1644,"Центральный федеральный округ","Городское население",Женщины
457,"Центральный федеральный округ","Сельское население","Оба пола"
192,"Центральный федеральный округ","Сельское население",Мужчины
265,"Центральный федеральный округ","Сельское население",Женщины
50,"Белгородская область","Городское и сельское население","Оба пола"
15,"Белгородская область","Городское и сельское население",Мужчины
35,"Белгородская область","Городское и сельское население",Женщины
34,"Белгородская область","Городское население","Оба пола"
10,"Белгородская область","Городское население",Мужчины
24,"Белгородская область","Городское население",Женщины
16,"Белгородская область","Сельское население","Оба пола"
5,"Белгородская область","Сельское население",Мужчины
11,"Белгородская область","Сельское население",Женщины
30,"Брянская область","Городское и сельское население","Оба пола"
16,"Брянская область","Городское и сельское население",Мужчины
14,"Брянская область","Городское и сельское население",Женщины
22,"Брянская область","Городское население","Оба пола"
11,"Брянская область","Городское население",Мужчины
11,"Брянская область","Городское население",Женщины
8,"Брянская область","Сельское население","Оба пола"
5,"Брянская область","Сельское население",Мужчины
3,"Брянская область","Сельское население",Женщины
83,"Владимирская область","Городское и сельское население","Оба пола"
27,"Владимирская область","Городское и сельское население",Мужчины
56,"Владимирская область","Городское и сельское население",Женщины
46,"Владимирская область","Городское население","Оба пола"
14,"Владимирская область","Городское население",Мужчины
32,"Владимирская область","Городское население",Женщины
37,"Владимирская область","Сельское население","Оба пола"
13,"Владимирская область","Сельское население",Мужчины
24,"Владимирская область","Сельское население",Женщины
167,"Воронежская область","Городское и сельское население","Оба пола"
75,"Воронежская область","Городское и сельское население",Мужчины
92,"Воронежская область","Городское и сельское население",Женщины
126,"Воронежская область","Городское население","Оба пола"
55,"Воронежская область","Городское население",Мужчины
71,"Воронежская область","Городское население",Женщины
41,"Воронежская область","Сельское население","Оба пола"
