Region,crime,felony,high_education,population,revenue,unemployment,birthrate
алтайский край,39177.0,10626.0,5648.0,2268179.0,21779.0,"16,8","1,43"
амурская область,16253.0,4316.0,3099.0,772525.0,28136.0,"15,6","1,54"
архангельская обл. (без а/о),16786.0,4893.0,пусто,пусто,пусто,пусто,пусто
архангельская обл. (с ао ),17472.0,5077.0,пусто,пусто,пусто,пусто,пусто
архангельская область,пусто,пусто,3776.0,1114322.0,32817.0,"12,7","1,58"
архангельская область (кроме ненецкого автономного округа),пусто,пусто,пусто,пусто,пусто,пусто,"1,55"
архангельская область без авт. округа,пусто,пусто,пусто,пусто,пусто,"11,8",пусто
архангельская область без авт.округа,пусто,пусто,пусто,пусто,31201.0,пусто,пусто
архангельская область без ненецкого автономного округа,пусто,пусто,пусто,1069782.0,пусто,пусто,пусто
астраханская область,13062.0,3448.0,3274.0,989430.0,23205.0,"14,8","1,73"
белгородская область,14588.0,4343.0,5951.0,1531917.0,29751.0,"7,5","1,24"
брянская область,13549.0,3034.0,4670.0,1168771.0,24057.0,"13,6","1,31"
в том числе: ненецкий автономный округ,пусто,пусто,пусто,пусто,пусто,"9,2",пусто
в том числе: ханты-мансийский автономный округ-югра,пусто,пусто,пусто,пусто,пусто,"9,0",пусто
владимирская область,16254.0,4519.0,5187.0,1323659.0,22217.0,"13,1","1,24"
волгоградская область,36031.0,9568.0,6486.0,2449781.0,21241.0,"13,6","1,2"
вологодская область,17411.0,4404.0,4075.0,1139499.0,26614.0,"13,5","1,51"
воронежская область,30460.0,7716.0,6271.0,2287678.0,29192.0,"8,9","1,26"
всего по россии,1966795.0,536997.0,пусто,пусто,пусто,пусто,пусто
г. Москва,138180.0,47288.0,41479.0,12635466.0,61649.0,"6,7","1,36"
г. Санкт-Петербург,62971.0,18449.0,20383.0,5377503.0,39002.0,"6,7","1,31"
г. Севастополь,6269.0,1584.0,пусто,522057.0,24746.0,"12,0","1,09"
гу мвд россии по г.санкт-петерб. и лен.обл.,91540.0,26374.0,пусто,пусто,пусто,пусто,пусто
дальневосточный фед.округ,145304.0,37901.0,пусто,пусто,пусто,пусто,пусто
дальневосточный федеральный округ,пусто,пусто,29774.0,8091244.0,32812.0,пусто,"1,67"
еврейская авт.область,пусто,пусто,пусто,пусто,23413.0,пусто,пусто
еврейская автономная область,пусто,пусто,1754.0,153831.0,пусто,"23,2","1,71"
еврейская ао,3164.0,809.0,пусто,пусто,пусто,пусто,пусто
забайкальский край,20816.0,5122.0,2838.0,1043467.0,22518.0,"20,8","1,79"
ивановская область,11791.0,2946.0,3834.0,976918.0,24314.0,"14,2","1,35"
иркутская область,37867.0,9728.0,5626.0,2357134.0,22480.0,"17,6","1,74"
кабардино-балкарская респ.,7416.0,2070.0,пусто,пусто,пусто,пусто,пусто
кабардино-балкарская республика,пусто,пусто,3675.0,870487.0,19367.0,"24,9","1,54"
калининградская область,12645.0,2882.0,3824.0,1027678.0,25623.0,"13,6","1,38"
калужская область,14656.0,4289.0,4425.0,1012844.0,27971.0,"10,8","1,4"
камчатский край,5450.0,1438.0,2977.0,312704.0,45322.0,"15,1","1,71"
карачаево-черкесская респ.,4436.0,1233.0,пусто,пусто,пусто,пусто,пусто
карачаево-черкесская республика,пусто,пусто,2350.0,464219.0,17546.0,"22,8","1,47"
кемеровская область,пусто,пусто,5816.0,2604272.0,21395.0,"13,9",пусто
кемеровская область - кузбасс,47071.0,11951.0,пусто,пусто,пусто,пусто,"1,36"
кировская область,18519.0,5420.0,3114.0,1234780.0,22072.0,"14,5","1,59"
костромская область,8188.0,2397.0,2598.0,620776.0,23974.0,"12,1","1,64"
краснодарский край,77125.0,19698.0,11286.0,5687378.0,32432.0,"10,5","1,6"
красноярский край,45561.0,12089.0,7466.0,2849169.0,27851.0,"17,1","1,48"
курганская область,13456.0,3355.0,2588.0,805510.0,20574.0,"19,1","1,8"
курская область,13448.0,3645.0,5159.0,1083584.0,25416.0,"9,9","1,37"
ленинградская область,28569.0,7925.0,5654.0,1911586.0,27804.0,"8,7","0,96"
липецкая область,13940.0,3388.0,4644.0,1113680.0,27645.0,"8,8","1,32"
магаданская область,2386.0,778.0,1947.0,137767.0,51694.0,"9,5","1,47"
московская область,74054.0,22138.0,24769.0,7768878.0,38596.0,"7,9","1,37"
мурманская область,12075.0,3383.0,3361.0,724452.0,38936.0,"9,4","1,54"
ненецкий авт.округ,пусто,пусто,пусто,пусто,73852.0,пусто,пусто
ненецкий автономный округ,пусто,пусто,623.0,44540.0,пусто,пусто,пусто
ненецкий автономный округ (архангельская область),пусто,пусто,пусто,пусто,пусто,пусто,"2,17"
