Регион  какое население коэффициент рождаемости 
Российская Федерация	все население	1,47
Центральный федеральный округ	все население	1,34
Белгородская область	все население	1,24
Брянская область	все население	1,31
Владимирская область	все население	1,24
Воронежская область	все население	1,26
Ивановская область	все население	1,35
Калужская область	все население	1,4
Костромская область	все население	1,64
Курская область	все население	1,37
Липецкая область	все население	1,32
Московская область	все население	1,37
Орловская область	все население	1,29
Рязанская область	все население	1,32
Смоленская область	все население	1,19
Тамбовская область	все население	1,27
Тверская область	все население	1,38
Тульская область	все население	1,2
Ярославская область	все население	1,39
Город Москва столица Российской Федерации город федерального значения	все население	1,36
Северо-Западный федеральный округ	все население	1,34
Республика Карелия	все население	1,65
Республика Коми	все население	1,66
Архангельская область	все население	1,58
Ненецкий автономный округ (Архангельская область)	все население	2,17
Архангельская область (кроме Ненецкого автономного округа)	все население	1,55
Вологодская область	все население	1,51
Калининградская область	все население	1,38
Ленинградская область	все население	0,96
Мурманская область	все население	1,54
Новгородская область	все население	1,38
Псковская область	все население	1,44
Город Санкт-Петербург город федерального значения	все население	1,31
Южный федеральный округ (с 29.07.2016)	все население	1,44
Республика Адыгея (Адыгея)	все население	1,31
Республика Калмыкия	все население	1,54
Республика Крым	все население	1,55
Краснодарский край	все население	1,6
Астраханская область	все население	1,73
Волгоградская область	все население	1,2
Ростовская область	все население	1,32
Город федерального значения Севастополь	все население	1,09
Северо-Кавказский федеральный округ	все население	1,78
Республика Дагестан	все население	1,86
Республика Ингушетия	все население	1,98
Кабардино-Балкарская Республика	все население	1,54
Карачаево-Черкесская Республика	все население	1,47
Республика Северная Осетия-Алания	все население	1,67
Чеченская Республика	все население	2,59
Ставропольский край	все население	1,35
Приволжский федеральный округ	все население	1,45
Республика Башкортостан	все население	1,52
Республика Марий Эл	все население	1,53
Республика Мордовия	все население	1,14
Республика Татарстан (Татарстан)	все население	1,52
Удмуртская Республика	все население	1,53
Чувашская Республика - Чувашия	все население	1,51
Пермский край	все население	1,57
Кировская область	все население	1,59
Нижегородская область	все население	1,39
Оренбургская область	все население	1,6
Пензенская область	все население	1,24
Самарская область	все население	1,37
Саратовская область	все население	1,18
Ульяновская область	все население	1,4
Уральский федеральный округ	все население	1,62
Курганская область	все население	1,8
Свердловская область	все население	1,6
Тюменская область	все население	1,74
Ханты-Мансийский автономный округ - Югра (Тюменская область)	все население	1,71
Ямало-Ненецкий автономный округ (Тюменская область)	все население	1,91
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа)	все население	1,73
Челябинская область	все население	1,47
Сибирский федеральный округ	все население	1,53
Республика Алтай	все население	2,17
Республика Тыва	все население	2,77
Республика Хакасия	все население	1,56
Алтайский край	все население	1,43
Красноярский край	все население	1,48
Иркутская область	все население	1,74
Кемеровская область - Кузбасс	все население	1,36
Новосибирская область	все население	1,49
Омская область	все население	1,54
Томская область	все население	1,31
Дальневосточный федеральный округ	все население	1,67
Республика Бурятия	все население	1,91
Забайкальский край	все население	1,79
Республика Саха (Якутия)	все население	1,79
Камчатский край	все население	1,71
Приморский край	все население	1,49
Хабаровский край	все население	1,56
Амурская область	все население	1,54
Магаданская область	все население	1,47
Сахалинская область	все население	1,9
Еврейская автономная область	все население	1,71
Чукотский автономный округ	все население	1,75
