Российская Федерация    30717
Центральный федеральный округ   39592
Белгородская область    29751
Брянская область    24057
Владимирская область    22217
Воронежская область 29192
Ивановская область  24314
Калужская область   27971
Костромская область     23974
Курская область 25416
Липецкая область    27645
Московская область  38596
Орловская область   23067
Рязанская область   23660
Смоленская область  23905
Тамбовская область  25782
Тверская область    24101
Тульская область    26257
Ярославская область     26997
г.Москва    61649
Северо-Западный федеральный округ   32831
Республика Карелия  27911
Республика Коми 33118
Архангельская область       32817
Ненецкий авт.округ  73852
Архангельская область без авт.округа    31201
Вологодская область 26614
Калининградская область 25623
Ленинградская область   27804
Мурманская область      38936
Новгородская область    25380
Псковская область       22328
г.Санкт-Петербург   39002
Южный федеральный округ 26202
Республика Адыгея   24269
Республика Калмыкия 15748
Республика Крым 17750
Краснодарский край  32432
Астраханская область    23205
Волгоградская область   21241
Ростовская область  26533
г.Севастополь   24746
Северо-Кавказский федеральный округ 22062
Республика Дагестан 25516
Республика Ингушетия    15947
Кабардино-Балкарская  Республика    19367
Карачаево-Черкесская  Республика    17546
Республика  Северная Осетия - Алания    22237
Чеченская Республика    22854
Ставропольский край 20532
Приволжский федеральный округ   25608
Республика Башкортостан 27528
Республика Марий Эл     18791
Республика Мордовия 17714
Республика Татарстан    32297
Удмуртская Республика   23905
Чувашская Республика    17767
Пермский край   27907
Кировская область   22072
Нижегородская область   30221
Оренбургская область    22569
Пензенская область  20730
Самарская область   26819
Саратовская область 19535
Ульяновская область 22731
Уральский федеральный округ 32924
Курганская область  20574
Свердловская область    34721
Тюменская область       42552
Ханты-Мансийский авт.округ  46768
Ямало-Ненецкий авт.округ    75414
Тюменская область без авт.округов   26594
Челябинская область 23647
Сибирский федеральный округ 4)  24022
Республика Алтай    18402
Республика Тыва 14881
Республика Хакасия  19542
Алтайский край  21779
Красноярский край       27851
Иркутская область   22480
Кемеровская область 21395
Новосибирская область   26701
Омская область  24893
Томская область 26232
Дальневосточный федеральный округ 4)    32812
Республика Бурятия  23779
Республика Саха (Якутия)    38737
Забайкальский край  22518
Камчатский край     45322
Приморский край 31454
Хабаровский край    36673
Амурская область    28136
Магаданская область     51694
Сахалинская область     50536
Еврейская  авт.область  23413
Чукотский  авт.округ    69211
