region,salary
Altay,56554
Amur,85370
Arkhangel'sk,87248
Astrakhan',61025
Bashkortostan,67580
Belgorod,67969
Bryansk,60389
Buryat,71597
Chechnya,43982
Chelyabinsk,72316
Chita,84032
Chuvash,60864
Dagestan,44652
Gorno-Altay,64492
Ingush,40963
Irkutsk,85514
Ivanovo,50156
Kabardin-Balkar,46039
Kaliningrad,68066
Kalmyk,49332
Kaluga,74071
Kamchatka,126244
Karachay-Cherkess,49522
Karelia,76019
Khabarovsk,88042
Khakass,72602
Kirov,60177
Komi,86610
Kostroma,56903
Krasnodar,67168
Krasnoyarsk,93327
Kurgan,65153
Kursk,66053
Leningrad,85726
Lipetsk,67001
Maga_Buryatdan,152394
Mariy-El,63454
Mordovia,60052
Moskovsskaya,103931
Murmansk,111196
Nizhegorod,72101
Novgorod,66428
Novosibirsk,77762
Omsk,65927
Orel,57150
Orenburg,67594
Penza,60158
Perm',72532
Primor'ye,86829
Pskov,56924
Rostov,62081
Ryazan',65202
Sakha_(Yakutia),123825
Sakhalin,137773
Samara,68357
Saratov,59167
Smolensk,61419
Stavropol',56401
Sverdlovsk,81782
Tambov,55245
Tatarstan,77912
Tomsk,78660
Tula,74647
Tuva,68204
Tver',66680
Tyumen',120731
Udmurt,68996
Ul'yanovsk,62293
Vladimir,66790
Volgograd,61539
Vologda,79006
Voronezh,67496
Yaroslavl',65950
